Position,Const,Created,Modified,Description,Name,Known For,Birth Date
895,nm1428821,2014-03-10,2014-03-10,,Joey King,The Act,1999-07-30
896,nm0329481,2014-03-10,2014-03-10,,Ginnifer Goodwin,Big Love,1978-05-22
897,nm0852132,2014-03-10,2014-03-10,,Christine Taylor,Dodgeball: A True Underdog Story,1971-07-30
898,nm1227814,2014-03-10,2014-03-10,,Vanessa Hudgens,High School Musical 3: Senior Year,1988-12-14
899,nm0001009,2014-03-10,2014-03-10,,Kate Capshaw,Indiana Jones and the Temple of Doom,1953-11-03
900,nm0180411,2014-03-10,2014-03-10,,Abbie Cornish,Candy,1982-08-07
901,nm0000453,2014-03-10,2014-03-10,,Ian Holm,The Lord of the Rings: The Fellowship of the Ring,1931-09-12
902,nm0001447,2014-03-10,2014-03-10,,Nathan Lane,The Producers,1956-02-03
903,nm0000144,2014-03-10,2014-03-10,,Cary Elwes,Saw,1962-10-26
904,nm0001454,2014-03-10,2014-03-10,,Martin Lawrence,Martin,1965-04-16
905,nm0176869,2014-03-10,2014-03-10,,Steve Coogan,Philomena,1965-10-14
906,nm0056187,2014-03-10,2014-03-10,,Sacha Baron Cohen,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,1971-10-13
907,nm0942482,2014-03-10,2014-03-10,,Jeffrey Wright,Shaft,1965-12-07
908,nm0000329,2014-03-10,2014-03-10,,Jackie Chan,Ngo si seoi,1954-04-07
909,nm0001173,2014-03-10,2014-03-10,,Aaron Eckhart,The Dark Knight,1968-03-12
910,nm0941777,2014-03-10,2014-03-10,,Sam Worthington,Avatar,1976-08-02
911,nm0202603,2014-03-10,2014-03-10,,Jack Davenport,Pirates of the Caribbean: Dead Man's Chest,1973-03-01
912,nm0000547,2014-03-10,2014-03-10,,Alfred Molina,Spider-Man 2,1953-05-24
913,nm0000347,2019-03-18,2019-03-18,,Tim Curry,Congo,1946-04-19
914,nm0000434,2014-03-10,2014-03-10,,Mark Hamill,Star Wars,1951-09-25
915,nm0000409,2014-03-10,2014-03-10,,Brendan Fraser,The Mummy,1968-12-03
916,nm0001084,2014-03-10,2014-03-10,,Ice Cube,Friday,1969-06-15
917,nm0000630,2014-03-10,2014-03-10,,Liev Schreiber,Spotlight,1967-10-04
918,nm1159180,2014-03-10,2014-03-10,,Ed Helms,The Hangover,1974-01-24
919,nm0000174,2014-03-10,2014-03-10,,Val Kilmer,The Doors,1959-12-31
920,nm1258970,2014-03-10,2014-03-10,,Russell Brand,Arthur,1975-06-04
921,nm0005266,2014-03-10,2014-03-10,,Craig T. Nelson,The Incredibles,1944-04-04
922,nm0005170,2014-03-10,2014-03-10,,Bernie Mac,The Bernie Mac Show,1957-10-05
923,nm0001772,2014-03-10,2014-03-10,,Patrick Stewart,Logan,1940-07-13
924,nm0001293,2014-03-10,2014-03-10,,Seth Green,Austin Powers in Goldmember,1974-02-08
925,nm0005110,2014-03-10,2014-03-10,,Ashton Kutcher,That '70s Show,1978-02-07
926,nm0001642,2014-03-10,2014-03-10,,Randy Quaid,Brokeback Mountain,1950-10-01
927,nm0000648,2014-03-10,2014-03-10,,Wesley Snipes,Blade,1962-07-31
928,nm0654648,2015-03-08,2015-03-08,,David Oyelowo,Selma,1976-04-01
929,nm0835016,2014-03-10,2014-03-10,,Mark Strong,1917,1963-08-05
930,nm0001705,2014-03-10,2014-03-10,,Rob Schneider,Deuce Bigalow: European Gigolo,1963-10-31
931,nm0059431,2014-03-10,2014-03-10,,Jay Baruchel,Goon,1982-04-09
932,nm0159789,2014-03-10,2014-03-10,,Hayden Christensen,Star Wars: Episode II - Attack of the Clones,1981-04-19
933,nm0829032,2014-03-10,2014-03-10,,Ray Stevenson,Thor,1964-05-25
934,nm0079273,2014-03-10,2014-03-10,,Paul Bettany,Master and Commander: The Far Side of the World,1971-05-27
935,nm0491402,2014-03-10,2014-03-10,,Hugh Laurie,House M.D.,1959-06-11
936,nm0000676,2014-03-10,2014-03-10,,Chris Tucker,Rush Hour 2,1971-08-31
937,nm0001006,2019-04-12,2019-04-12,,John Candy,"Planes, Trains & Automobiles",1950-10-31
938,nm0000277,2019-03-18,2019-03-18,,Richard Attenborough,Jurassic Park,1923-08-29
939,nm0000563,2014-03-10,2014-03-10,,Chris O'Donnell,Batman & Robin,1970-06-26
940,nm0000973,2014-03-10,2014-03-10,,Benjamin Bratt,Miss Congeniality,1963-12-16
941,nm0996669,2014-03-10,2014-03-10,,Common,Wanted,1972-03-13
942,nm0005541,2014-03-10,2014-03-10,,Marlon Wayans,White Chicks,1972-07-23
943,nm0000983,2014-03-10,2014-03-10,,Albert Brooks,Drive,1947-07-22
944,nm0666739,2019-03-18,2019-03-18,,Aaron Paul,Breaking Bad,1979-08-27
945,nm0000346,2014-03-10,2014-03-10,,Macaulay Culkin,Home Alone,1980-08-26
946,nm0000385,2014-03-10,2014-03-10,,Sam Elliott,A Star Is Born,1944-08-09
947,nm5473782,2019-07-29,2019-07-29,,Taron Egerton,Rocketman,1989-11-10
948,nm0001029,2014-03-10,2014-03-10,,Jim Caviezel,The Passion of the Christ,1968-09-26
949,nm0000062,2019-03-19,2019-03-19,,Elvis Presley,Tickle Me,1935-01-08
950,nm1706767,2014-03-09,2014-03-09,,Jonah Hill,21 Jump Street,1983-12-20
951,nm0437646,2019-07-29,2019-07-29,,Sung Kang,Furious 6,1972-04-08
952,nm0837177,2014-03-10,2014-03-10,,Jason Sudeikis,Colossal,1975-09-18
953,nm0001326,2014-03-10,2014-03-10,,Josh Hartnett,Lucky Number Slevin,1978-07-21
954,nm0614165,2014-03-10,2014-03-10,,Cillian Murphy,28 Days Later...,1976-05-25
955,nm0001082,2014-03-10,2014-03-10,,Billy Crudup,Almost Famous,1968-07-08
956,nm1107001,2014-03-10,2014-03-10,,Anthony Mackie,The Hurt Locker,1978-09-23
957,nm0000858,2019-03-19,2019-03-19,,John Barrymore,Twentieth Century,1882-02-15
958,nm0648249,2014-03-10,2014-03-10,,Timothy Olyphant,Justified,1968-05-20
959,nm1265802,2014-03-10,2014-03-10,,Josh Gad,Frozen,1981-02-23
960,nm0000708,2019-07-29,2019-07-29,,Billy Zane,Titanic,1966-02-24
961,nm0005561,2014-03-10,2014-03-10,,Luke Wilson,Old School,1971-09-21
962,nm0765597,2014-03-10,2014-03-10,,Peter Sarsgaard,Shattered Glass,1971-03-07
963,nm0406975,2014-03-10,2014-03-10,,Rhys Ifans,The Amazing Spider-Man,1967-07-22
964,nm0333410,2014-03-10,2014-03-10,,Topher Grace,Spider-Man 3,1978-07-12
965,nm0366389,2014-03-10,2014-03-10,,Kevin Hart,Ride Along,1979-07-06
966,nm0200452,2014-03-10,2014-03-10,,Paul Dano,There Will Be Blood,1984-06-19
967,nm0352778,2015-03-08,2015-03-08,,Bill Hader,The Skeleton Twins,1978-06-07
968,nm0000507,2014-03-10,2014-03-10,,Rob Lowe,St. Elmo's Fire,1964-03-17
969,nm0000305,2019-03-19,2019-03-19,,Mel Blanc,Who Framed Roger Rabbit,1908-05-30
970,nm0005450,2014-03-10,2014-03-10,,David Spade,Joe Dirt,1964-07-22
971,nm1443527,2014-03-10,2014-03-10,,Rob Riggle,The Daily Show,1970-04-21
972,nm0000448,2014-03-10,2014-03-10,,Lance Henriksen,Hard Target,1940-05-05
973,nm0420955,2015-03-08,2015-03-08,,Richard Jenkins,The Shape of Water,1947-05-04
974,nm0000389,2019-03-19,2019-03-19,,Emilio Estevez,The Way,1962-05-12
975,nm1013003,2014-03-10,2014-03-10,,Michael Ealy,Barbershop,1973-08-03
976,nm0068260,2014-03-10,2014-03-10,,Jamie Bell,Billy Elliot,1986-03-14
977,nm1684869,2019-03-19,2019-03-19,,Troy Baker,The Last of Us,1976-04-01
978,nm1144419,2014-03-10,2014-03-10,,Danny McBride,Pineapple Express,1976-12-29
979,nm0001667,2015-07-05,2015-07-05,,Jonathan Rhys Meyers,Den 12. mann,1977-07-27
980,nm0148418,2014-03-10,2014-03-10,,Michael Cera,Superbad,1988-06-07
981,nm0000200,2016-06-18,2016-06-18,,Bill Paxton,Aliens,1955-05-17
982,nm0344435,2014-03-10,2014-03-10,,Ioan Gruffudd,Fantastic Four,1973-10-06
983,nm0511088,2016-06-18,2016-06-18,,Andrew Lincoln,The Walking Dead,1973-09-14
984,nm3009232,2019-03-19,2019-03-19,,Ezra Miller,The Perks of Being a Wallflower,1992-09-30
985,nm0000597,2016-06-18,2016-06-18,,Bill Pullman,Independence Day,1953-12-17
986,nm0732497,2015-03-08,2015-03-08,,Craig Robinson,This Is the End,1971-10-25
987,nm0206359,2014-03-10,2014-03-10,,Charlie Day,It's Always Sunny in Philadelphia,1976-02-09
988,nm1676221,2014-03-10,2014-03-10,,Andy Samberg,Saturday Night Live,1978-08-18
989,nm1330560,2014-03-10,2014-03-10,,Garrett Hedlund,Tron,1984-09-03
990,nm1544217,2014-03-10,2014-03-10,,Cam Gigandet,Twilight,1982-08-16
991,nm1024677,2014-03-10,2014-03-10,,John Krasinski,A Quiet Place,1979-10-20
992,nm0416673,2015-08-13,2015-08-13,,Kevin James,Paul Blart: Mall Cop,1965-04-26
993,nm0001659,2014-03-10,2014-03-10,,Christopher Reeve,Superman,1952-09-25
994,nm0564215,2015-08-13,2015-08-13,,James McAvoy,Filth,1979-04-21
995,nm0001722,2014-03-10,2014-03-10,,Rufus Sewell,Dark City,1967-10-29
996,nm3485845,2019-03-19,2019-03-19,,Adam Driver,Star Wars: Episode VII - The Force Awakens,1983-11-19
997,nm0000885,2014-03-10,2014-03-10,,Ned Beatty,Network,1937-07-06
998,nm0000092,2014-03-10,2014-03-10,,John Cleese,A Fish Called Wanda,1939-10-27
999,nm0001806,2014-03-10,2014-03-10,,John Turturro,Barton Fink,1957-02-28
1000,nm0001471,2017-09-16,2017-09-16,,Jerry Lewis,The Nutty Professor,1926-03-16
